Indicador,Area,Keyword,Unidad,Meta 2025,Acumulado,% Acumulado,Logro 2023,Logro 2024
% de estudiantes de primero que alcanzan lectura,Educación,Lectura 1ero,Porcentaje,68,65,95.59,49,61
% de jóvenes egresados vinculados en el mundo productivo,Educación,Egresados UTC ocupados,Porcentaje,75,0,0,68,71
# de personas impactadas a través del spin off,Educación,Beneficiarios Spin Off,Unidades,40000,1.2,0,0,23872
Puntaje en GEIAL,Emprendimiento,GEIAL,Unidades,64,0,0,63,63
Mediciones de la estrategia de gestión de negocios Escuela Activa,Emprendimiento,Emprendimiento colegios,Unidades,1,0,0,0,0
# de empresas aceleradas proyecto Fondo Mayor,Emprendimiento,Emprendimiento silver,Unidades,50,0,0,0,0
# de matriculados en programas de formación,Desarrollo rural,Formación,Unidades,390,0.354,0,0,0
# de nuevos aliados,Desarrollo rural,Vehículo jóvenes rurales,Unidades,4,1,0,0,4
% de implementación del Plan estratégico Silver,Proyectos especiales,Silver,Porcentaje,1,0,0,0,0
Estrategia para vincular a las universidades,Estrategia,Alianza universidades,Unidades,1,0.3,0,0,0
Recursos gestionados para Manizales,Estrategia,Cooperación,Pesos,1000000000,0,0,0,0
Aumento del cubrimiento de temas de calidad,Comunicaciones,Comunicaciones,Porcentaje,25,0,0,0,0
