PROYECTO,INVERSION SOCIAL AÑO 2025,EJECUTADO,PENDIENTE DE EJECUCION,PORCENTAJES DE EJECUCIÓN
EMPRENDIMIENTO DE ALTO IMPACTO,722699435,160078146,562621289,80
Emprendimiento de Alto Impacto para Mles,567699435,123075532,444623903,22
Estrategia de Comunicación,75000000,3709398,71290602,5
Emprendimiento Silver,80000000,33293216,46706784,42
EDUCACION PARA EL DESARROLLO,6596828008,4880863264,1715964744,74
Empleo + Emprendimiento,2141674946,1645964359,495710587,77
Global,337000000,204713414,132286586,61
Tecnología en Educación,383419824,153032404,230387420,40
Modelos Centrados en los Estudiantes,2174424334,1658172126,516252208,76
Transformación Digital,522892940,372495258,150397682,71
Transversal,1037415964,846485703,190930261,82
PROYECTO ALIANZA LUKER,1474482500,787349350,687133150,53
Jovenes Rurales,1474482500,787349350,687133150,53
PROYECTOS ESPECIALES,1043603204,731183429,312419775,70
Ravasco,41022000,30818000,10204000,75
Nutrir,293500000,178597234,114902766,61
Alejandra Velez Mejia,44360000,34182000,10178000,77
Proyecto de Tercera Edad,85225925,78253063,6972862,92
Convento de la Visitacion,58690000,48415000,10275000,82
Orden de Religiosas Adoratrices,40492000,30320000,10172000,75
Ceder,55300000,40068800,15231200,72
Fondo de Vocaciones Sacerdotales,58618000,43370000,15248000,74
Betania,94500000,69092000,25408000,73
Batuta,105680000,80197000,25483000,76
Ecosistema Social,45000000,88990,44911010,0
Sueldos Especiales,121215279,97781342,23433937,81
INCIDENCIA,548220000,341413236,206806764,62
Incidencia,548220000,341413236,206806764,62
